characterName,listFile,analysisFile
the overseer,Books/A_Hunger_Artist/character_2_list.txt,
the hunger artist,Books/A_Hunger_Artist/character_0_list.txt,Books/A_Hunger_Artist/character_0_analysis.txt
the impresario,Books/A_Hunger_Artist/character_1_list.txt,Books/A_Hunger_Artist/character_1_analysis.txt
